,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O,longitude,latitude
196689,울산광역시,31,울주군,31710,16.5,48.64,13.39,6.24,5.26,12.31,7.77,3.67,129.12518628972637,35.562561146778435
196691,울산광역시,31,울주군,31710,6.44,17.64,2.0,2.16,2.04,2.08,4.4,4.96,129.1481442752667,35.54792129817081
196692,울산광역시,31,울주군,31710,7.52,21.08,5.16,5.6,1.72,2.6,2.68,3.32,129.19625739867726,35.44559077549378
196693,울산광역시,31,울주군,31710,1.5,4.19,0.65,0.66,0.4,0.6,0.83,1.05,129.1544024035464,35.445999284419
196694,울산광역시,31,울주군,31710,1.5,4.19,0.65,0.66,0.4,0.6,0.83,1.05,129.16861682143127,35.438650650545846
196695,울산광역시,31,울주군,31710,1.5,4.09,0.66,0.33,0.26,0.8,0.71,1.33,129.32545289466873,35.39736410770205
196696,울산광역시,31,울주군,31710,9.0,23.58,1.56,3.84,2.04,2.64,5.34,8.16,129.14209127840277,35.587641661879125
196697,울산광역시,31,울주군,31710,3.0,8.18,1.32,0.66,0.52,1.6,1.42,2.66,129.32441126364293,35.400981276113974
196698,울산광역시,31,울주군,31710,12.0,31.44,2.08,5.12,2.72,3.52,7.12,10.88,129.1511642791024,35.60468211412324
196700,울산광역시,31,울주군,31710,6.12,16.36,1.68,1.68,1.2,2.56,3.32,5.92,129.2091098265888,35.42112360088158
196701,울산광역시,31,울주군,31710,3.06,8.18,0.84,0.84,0.6,1.28,1.66,2.96,129.2422812112501,35.429800454123644
196702,울산광역시,31,울주군,31710,3.0,8.32,2.4,0.9,1.34,1.22,1.4,1.06,129.21890344936185,35.558943489157166
196707,울산광역시,31,울주군,31710,1.93,5.33,1.0,0.62,0.64,0.94,0.9,1.23,129.32336223703146,35.471303891212656
196708,울산광역시,31,울주군,31710,1.93,5.33,1.0,0.62,0.64,0.94,0.9,1.23,129.31551767945137,35.4632770618966
