,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O,latitude,longitude
398369,울산광역시,31,남구,31140,6.63908,0.0,0.0,4.26798,0.94844,1.42266,0.0,0.0,0.0,35.5085629476496,129.37689167161523
398400,울산광역시,31,북구,31200,3.56192,0.02638,0.89709,1.10816,0.98943,0.42215,0.11871,0.0,0.0,35.637083930250114,129.3305128797393
398517,울산광역시,31,남구,31140,67.09222,0.0,16.47846,33.40978,15.51605,1.31743,0.28818,0.08232,0.0,35.54449817851513,129.30691956194917
398523,울산광역시,31,남구,31140,0.32067,0.0,0.0,0.0,0.0,0.32067,0.0,0.0,0.0,35.48414123139471,129.38418875741633
398566,울산광역시,31,울주군,31710,2.5388,0.0,0.0,2.5388,0.0,0.0,0.0,0.0,0.0,35.565973532405444,129.23666201890452
398717,울산광역시,31,남구,31140,1.37729,0.0,0.0,1.37729,0.0,0.0,0.0,0.0,0.0,35.54653826888297,129.28489345333372
398736,울산광역시,31,울주군,31710,20.86142,0.0,2.76189,8.38932,7.84891,1.56108,0.24017,0.06005,0.0,35.55890990844472,129.2222123731025
398804,울산광역시,31,울주군,31710,144.67492,0.0,50.468,57.19706,10.09359,26.91627,0.0,0.0,0.0,35.4192942136153,129.29828223514576
398888,울산광역시,31,북구,31200,1.32271,0.0,0.0,0.0,1.32271,0.0,0.0,0.0,0.0,35.56791703319251,129.38894115468472
398901,울산광역시,31,중구,31110,2.2748,0.0,0.0,0.0,2.2748,0.0,0.0,0.0,0.0,35.55594833808472,129.33137381711606
398913,울산광역시,31,울주군,31710,10.86116,0.0,1.81937,3.69391,3.41825,1.48856,0.44107,0.0,0.0,35.41716769648518,129.3279802997292
398942,울산광역시,31,남구,31140,13.02282,0.0,0.0,4.34094,8.68188,0.0,0.0,0.0,0.0,35.542921448791915,129.28593853769783
398949,울산광역시,31,울주군,31710,1.42434,0.0,0.71217,0.71217,0.0,0.0,0.0,0.0,0.0,35.61719304264262,129.06523520149887
398953,울산광역시,31,남구,31140,98.61948,0.0,13.1955,27.08564,32.64172,20.83514,4.167,0.69448,0.0,35.528813166919974,129.3397460990773
398996,울산광역시,31,남구,31140,32.11768,0.0,4.56688,8.2905,15.21558,3.62309,0.42163,0.0,0.0,35.54077288879159,129.31788781223545
399003,울산광역시,31,중구,31110,35.71928,0.0,5.05264,6.79532,10.28068,6.79532,6.79532,0.0,0.0,35.56761553261574,129.33598024076892
399004,울산광역시,31,중구,31110,24.83435,0.32668,2.94084,9.80314,8.49597,2.94104,0.32668,0.0,0.0,35.55750569936367,129.27072835744602
399020,울산광역시,31,남구,31140,0.42455,0.00023,0.06767,0.13875,0.1279,0.07487,0.01396,0.00117,0.0,35.53209553916769,129.3684725045436
399025,울산광역시,31,남구,31140,153.64287,0.0,38.58936,57.02762,37.83858,17.07302,3.11429,0.0,0.0,35.535509585616836,129.30456778394185
399103,울산광역시,31,울주군,31710,4.5752,0.0,2.2876,2.2876,0.0,0.0,0.0,0.0,0.0,35.467710965200986,129.3222013523362
399152,울산광역시,31,남구,31140,0.90633,0.0005,0.14447,0.29622,0.27307,0.15984,0.02975,0.00248,0.0,35.51433180896447,129.34501748612175
399201,울산광역시,31,북구,31200,21.16333,0.0,3.96813,13.22707,2.64542,1.32271,0.0,0.0,0.0,35.55908211534782,129.373344632702
